positionId,position,salary,experience,education,Description_and_requirements,area,publish_time,companyName,companyNature,companyPersonnel,companyIntroduction
78301643,Python高级开发工程师,2-2.5万/月,职位描述：工作职责：1.负责数据平台研发；2.负责相关项目实施支持。技能要求：1.扎实程序设计基础，精通Python；2.熟悉Linux系统，熟悉HTTP协议；3.熟练掌握Mysql，Redis，熟悉Elasticsearch可加分；4.优秀的沟通和团队合作能力；5.有很强的英语阅读能力。加分项：1.了解分布式计算和存储，流式计算，实时计算，虚拟化技术；2.了解开源系统如Hadoop，Storm，Spark，OpenStack；3.熟悉Golang；4.有大数据处理经验。,北京-海淀区-中关村东升科技园北领地,01-17,精硕世纪科技（北京）有限公司,外资（欧美）,150-500人,"AdMaster是领先的营销数据技术公司，利用先进的大数据技术帮助品牌指导营销策略并预先量化营销效果。AdMaster is a marketing data technology company that enables the fine tuning of future marketing campaigns with predictive analytics based on cutting-edge big data technologies.AdMaster架起了品牌、广告主与消费者之间的桥梁，是贯穿各行业和领域的数据枢纽。AdMaster实时日监测并分析来自数字电视、电脑、智能手机和平板电脑的线上广告曝光量数据高达50亿次。我们与国际、国内超百家媒体及上下游合作伙伴保持长期合作关系，保证了AdMaster作为数据枢纽的多方数据源对接和融合。We bridge the gap between brands, publishers and consumers, and we network among different industries. Each day, we track and analyze ad viewings in real time and collect 5 billion points of information from digital TV, computers, smart phones and tablet computers. AdMaster has long-standing partnerships with hundreds of publishers, and maintains cooperation with prestigious digital marketing platforms in China.通过监测和分析不同行业的品牌在多种平台上的数字营销投放，AdMaster已经建立了行业标准、媒介规划工具，并积累了丰富的实践案例，帮助品牌实现数字营销投资收益的最大化。By tracking and measuring digital investments for brands from different industries and platforms, AdMaster has been able to develop benchmarks, best-case practices, and media planning tools that assist brands to maximize the return on their digital marketing investment.AdMaster成立于2006年。发展至今，现已为超过80%的国际及本土品牌提供数据服务，品牌范围覆盖各行各业。我们在北京、上海、广州、西安有2个研发中心和4个办公室。我们的竞争优势来源于技术的不断创新，并拥有多项研发专利技术，技术研发人才占公司总人数的一半。Since the foundation of AdMaster in 2006, we have served over 80%of national and international companies from various industries in China. The company now has 3 offices in Beijing, Shanghai, Guangzhou and Xi’an, as well as 2 R&D; centers. The solid competitiveness comes from our ever-innovating team – We have developed numerous patented technologies, and dedicated half of the personnel to R&D.; 我们是AdMaster，用数据科技创造快乐世界!We are AdMaster, and we use data technology to make a happier world. http://www.admaster.com.cn/"
77911850,Python工程师,1.5-2万/月,职位描述：外派到外企岗位，有Python经验1年以上，有scripting相关经验，具有良好的工作能力，沟通表达能力及团队协作精神，,北京-海淀区学院路,01-17,北京艾斯克雷科技有限责任公司,民营公司,50-150人,"北京艾斯克雷科技有限责任公司是提供软件开发和软硬件集成服务的高新技术企业，座落于中国硅谷--中关村腹地，北美分公司将业务向欧美辐射。公司由世界五百强的高级管理人员和到美国留学有多年海外经验的归国人员创办，吸引了北京各大高校优秀人才的加盟。公司专注于企业应用解决方案、移动端对端解决方案和嵌入式软件的研发以及核心产品的研制。作为软件和集成行业一颗冉冉升83986804,Python开发工程师,1-2万/月,"职位描述：1、计算机或相关专业毕业，本科或以上学历；2、熟悉linux系统和linux shell；3、熟悉Python及其任意一种框架；4、熟悉html、css、js等前端技术优先考虑；5、熟悉面向对象概念, 熟悉设计模式。",上海-长宁区-天山路641号慧谷白猫科技园1号楼802室,01-17,上海寰享网络科技有限公司,民营公司,少于50人,"    上海寰享网络科技有限公司(www.openerp.net.cn ) 是OpenERP在中国的正式合作伙伴。提供企业的咨询服务从现成的模块包到特别为企业量身订制的模块。    要成功实施OpenERP的关键是建立在IT专业知识，业务流程分析和跨文化管理之间的微妙平衡。这就需要我们经验丰富的中欧顾问协助您在检测当前的业务工作流程的合理和效率性以便设计一个更合适的解决方案，并且用我们的IT经验和供应链结合您的业务范围。    从那里，我们将带领您到一个完整的OpenERP工作的解决方案，包括服务器设置，数据迁移或流程定制。此外，我们提供您的员工技术和功能培训（普通话和英语都可），以便顺利传授OpenERP使用和操作方法。    最后但并非最不重要的，我们的“软件即服务”为您提供提供一个简单，可靠，高效的平台来管理贵公司.上海寰享网络科技有限公司是OpenERP在中国的唯一一家银质合作伙伴和OpenERP CTP 培训认证中心,Top Author in apps.openerp.com – 亚洲首家OpenERP软件即服务平台    上海寰享网络科技有限公司是一家全球性的创新企业,我们在中国(包含港澳)服务国际知名和当地的中型企业，自2010年以来，我们经验丰富的中欧顾问提供全范围的OpenERP服务：- OpenERP在制造业，服务业和电子商务等领域的实施。- OpenERP的二次开发,维护及托管等支持服务- 商业顾问进行差异分析，BPM，业务工作流程回顾    公司在上海和深圳设有两个办事处，覆盖上海，江苏，浙江，广东，香港和澳门等。    更多信息请查看：http://www.elico-corp.com英文介绍The company started in 2010 servicing Chinese and foreign SME, developing later on a customer base all over the world. Now, we are Odoo Gold Partner in China.Shanghai Elico Limited offers consulting and developing services to implement Odoo (Open source management software) in all kinds of companies. The products range from:Ready-to-use ERP packages aimed at starting businessesConnectors and integration with 3rd party software (Magento, Taobao, Coswin, Joomla, Prestashop, Tradevine etc…_Tailor-made implementation for mid-sized manufacturing or service companies.We are in Shanghai, Hong Kong and Singapore. "
84897675,python工程师（网络安全）,1.5-2万/月,职位描述：职位描述：1、 管理产品的安全问题和安全事件，进行跟踪和分析；2、 参与制定安全规范，审查和推动安全规范的实施；3、研究最新的安全漏洞，安全技术，评估系统网络，操作系统，应用，数据库的安全风险，并给出加固意见；4、 定期对系统进行安全渗透测试，分析问题，并给出解决意见；职位资质：1、熟悉掌握Python编程和Django框架；2、熟悉RabbitMQ 或其他的AMQP 系统；3、熟悉Linux下的开发环境；4、了解熟悉以下至少两种以上技术：- MySQL- ElasticSearch- redis- Postgres会NASL和NSE脚本编程更加分。领导是外国人，请附上英文简历~* Strong experience with Python and the Django framework* RabbitMQ or other AMQP systems* Exposure to devops technologies* Comfortable in a Linux environment* Knowledge of 2 or more of the following:- MySQL- ElasticSearch - redis- PostgresBonus points if you have experience in NASL and/or NSE scripting.Please attach a resume in English.,上海-徐汇区-上海市徐汇区漕宝路650号4楼,01-17,红倍心（福建）生物科技有限公司上海分公司,合资,50-150人起的明星，自成立以来已经完成多个重要客户的项目。艾斯克雷本着高科技企业执着的态度与严谨的工作作风，遵循cmm3级的服务规范与标准，凭借灵活高效的实施手段与双向服务全程管理系统平台，成为众多客户的***合作伙伴。公司目前主要做欧美项目，从需求分析、设计、开发、测试到最终产品，我们已赢得越来越多客户的信任，公司规模快速扩大。客户是上帝，员工是财富。我们把敬业爱岗、技术优秀、沟通能力强的员工视为珍贵的财富。公司气氛活跃，注重团队精神和多方位开放坦诚的沟通，让每个员工有机会展现自己实力，获得充分的发展平台，促进公司的持续发展。你的心和能力有多大，我们给你的舞台也相应地大！工作环境：1.宽敞的办公室，轻松的工作氛围，这里充满了年轻的声音；2.弹性工作制，让每一个员工有权利安排自己的时间；3.零食小仓库：公司内有食品储物柜，任何时间只要你想，就可以享受你的美味；员工福利：1.公司有大量的海外客户，优秀员工有机会被派到欧美出差；2.外教课英语培训；3.完整的社保体系，五险一金；联系方式：电话：86-010-62139693传真：62123466邮箱：hr@eskalate.com网址：http://eskalate.com "
64009314,Python开发,1.5-2万/月,职位描述：工作职责：    1. 负责运维自动化平台的的需求梳理和流程设计，目标提升运维效率；    2. 负责自动化系统的前端或后端核心功能编码实现；    3. 负责已有的运维支撑系统的日常稳定运营与改进；    任职要求：    -至少1年以上python/php开发经验，熟练使用django、tornado框架；    -熟悉Linux操作系统，有一定实际运维工作经验；    -熟悉Git等代码管理工具、能够以Linux作为日常工作环境；    -熟悉互联网行业运维开发流程，能够准确理解把握运维自动化的需求；    -有openstack和docker使用经验者优先；,北京-海淀区-北京市海淀区上地东路盈创动力大厦E座502B,01-17,北京简单科技有限公司（简单学习网）,民营公司,150-500人,"公司简介http://baike.baidu.com/view/1911911.htm 薪酬福利：1、极富竞争力薪酬设计；2、福利体系：(1)五险（养老、失业、工伤、生育、医疗保险）(2)住房公积金;(3)商业补充医疗(4)定期体检(5)北京市工作居住证（享受与北京户口同等待遇的购房购车政策）(6)节日慰问礼金（品）(7)结婚礼金(8)全年5天全薪病假；(9)国家规定的带薪年假3、简单向上的企业文化氛围：让您尽快融入一支尽心、有爱心、创新型的团队；4、良好的培训体系：提供从入职、工作、干部培养、干部上岗等各环节的培训；5、广阔的发展空间：经历七年高考洗礼的公司正处在一个高速发展的时期，急需包括您在内的各类优秀人才加盟； 欢迎添加公司招聘微信号“jd100hr”，更多就业机会，点亮精彩人生。 "
59465911,python web 开发工程师,0.8-1万/月,"职位描述：任职要求：1. 全日制本科及以上学历，计算机相关专业，一年以上相关工作经验；2. 熟悉 Python 语言，熟悉Python 标准库，有一定的开发经验。3. 熟悉 Django Web框架以及mako模板；4. 熟练使用 CSS, html, JavaScript,以及 jQuery框架。5. 熟悉 Linux 基本使用。6. 熟悉 mongodb 数据库。",北京-海淀区-北京市海淀区北四环中路211号,01-17,华北计算技术研究所（中国电子科技集团公司第十五研究所 ）,事业单位,5000-10000人,"中国电子科技集团公司第十五研究所（又称华北计算技术研究所，以下简称十五所），位于北京市海淀区中关村科技园区。十五所创建于1958年，为大型综合性计算技术研究所，现有员工5500余人，其中专业技术人员占78%以上，全所占地面积235亩，建筑面积16.7万平方米。目前，现代化、多功能、地标性新园区顺利在建中。十五所是我国国家和国防信息化工程领域专业门类齐全、技术实力雄厚、应用成果丰硕的大型骨干研究所，主要从事计算机与共性软件、航天测控、卫星应用、泛公共安全、信息系统测评等方向的多层面研发，承担国家重大信息系统总体设计和建设任务等。近10余年来，十五所先后获得全国五一劳动奖章、国家科学技术进步特等奖等***、省部级以上奖励70余项，为国防和国民经济信息化建设做出了卓越贡献。十五所秉承“国家利益高于一切”的宗旨，以“尽科技强军责任，创平安智慧生活”为使命，以科技创新和产业发展为己任，推动转型升级，全力打造科技创新型高科技集团企业，为国防和国民经济信息化再立新功。十五所于2010年获批成立博士后科研工作站，热忱欢迎仿真与评估、云计算、大数据、物联网和网络空间安全等技术方向的博士人才从事博士后科研工作，携手共进，共策大计。单位名称：中国电子科技集团公司第十五研究所（华北计算技术研究所，简称十五所）单位地址：北京市 海淀区 北四环中路211号（紧邻北京科技大学）单位主页：http://www.nci.ac.cn电子邮件：cetc15hr@126.com邮政编码：100083 "
82420493,Python工程师,1.5-3万/月,职位描述：岗位职责:1、根据项目数据处理业务需求，制定数据处理平台技术架构2、制定大数据处理平台维护、优化、安全及高可用方案3、编写数据平台等核心代码任职资格:1、计算机相关专业本科或以上学历，熟悉常用数据结构与算法，2年以上Python语言应用开发经验，熟悉C/C++/Java等主流编程语言；2、熟悉Hadoop、Hbase、Spark工作原理，了解分布式计算实施过程中的各种问题。3、熟悉Linux系统操作，以及Mysql、Redis、Mongodb等数据库；4、有良好的编码习惯及开发文档书写习惯，有较好的沟通能力，扎实的编程功底；5、具有较强的沟通能力，工作协作能力，学习能力，执行力，组织能力；6、工作态度积极主动、细致、有全局观，有一定的抗压能力，善于与他人合作，良好的团队合作意识。 优先条件：1、有爬虫研发应用经验者优先。2、熟悉数据挖掘及机器学习算法者优先。3、爱好技术，喜欢探索新技术者优先。,北京-海淀区-知春路63号中国卫星通信大厦东塔3层,01-17,北京精准沟通国际传媒广告有限公司,上市公司,50-150人,"精准沟通传媒（简称PCM）是新三板首家服务化媒体资源平台（股票代码：836705）；PCM以汽车行业媒体服务为切入点，进一步打通主机厂数据服务、电商、金融、后市场及车载智能硬件等应用服务领域，打造一个全新的以服务为中心的汽车垂直生态价值链。PCM基于大数据应用技术，以自主知识产权的大数据分析模型为核心，通过对用户行为数据的挖掘来对用户需求进行判断，整合其他产品资源，融合自有产品，形成增值服务内容精准推送给用户，为用户提供更为满意的服务与产品。PCM目前已经与中国银联数据合作，覆盖50多家城商银行，覆盖人群达2亿；与中国联通合作推出汽车行业垂直数据开放平台，打造完善的多维度数据共享体系；与以奥迪为代表的汽车主机厂联合推出数字展厅业务，为销售终端打造数字化、智能化支持体系。源于坚实的技术积淀和行业深耕，PCM也取得了一系列骄人的业绩；公司在“2016 年新三板创新品牌价值100强”榜单中名列第31位；在东方财富网评选的新三板创值能力百强中在前20名内；公司亦荣获“国家高新技术企业”和“中关村高新技术企业”称号。在这里，我们有高大上的办公环境，同行业内有竞争力的工资；在这里，我们为你提供绩效奖励、社会保险，员工聚会，水果咖啡，佳节福利，超长年假……一个都不少！在这里，你可以遇到善良单纯的萌妹纸、个性有范的御姐、颜值爆表的暖男、酷到掉渣的老板，在这里，你可以天马星空，但不能眼高手低；在这里，你可以个性***，但必须爱公司爱团队爱小伙伴；在这里，你可以不完美不周全，但必须有想法有激情……如果你是一个有理想，有情怀，有能力，有干劲的“四有”好青年；那么，来精准沟通，逆袭当***，实现你吹过的***。I WANT YOU!"
84845915,python开发工程师,0.8-2.5万/月,"职位描述：岗位描述：1. 负责采集端产品的开发维护工作2. 负责python相关产品的发布部署3. 负责python相关产品的技术文档编写4. 负责python相关产品的测试5. 负责大数据信息清洗和挖掘要求：1. 大学本科及以上学历, 从事python相关工作至少一年以上2. 熟悉数据库(oracle,mysql)开发的优先3. 熟悉网络信息采集的优先4. 熟悉SNMP协议的优先5. 具备快速学习能力，良好的文档编写能力6. 具备良好的团队合作精神",北京-海淀区-西小口路66号东升科技园D区3座309,01-17,北京西骏数据科技股份有限公司,民营公司,少于50人,"北京西骏数据股份有限公司（以下简称“西骏数据”）是有国内IT资深人士联合海外高端技术人才共同创立的高科技创业型企业。公司以大数据管理为核心，重点关注国内的IT运维智能化与云服务领域，通过大数据技术与云化服务彻底变革国内IT运维现状，帮助客户体验全新运维实践，大幅降低IT运维成本，并实现可信的运维风险预警。西骏数据的使命是成为国内智能化运维领域的开拓者，进军每年3000亿的蓝海市场。西骏数据总部设于北京，在西安、银川、乌鲁木齐等地设有分公司或者办事处。西骏数据具有雄厚的资本市场背景，具有上市及股权融资的得天独厚条件。自成立以来，西骏数据已经成功签约运营商、政府、金融、医疗、能源等领域的重要客户，具有良好的发展势头。西骏数据聚集了一批高技术专业人才和市场精英，在企业发展的关键阶段，热切期望你的加入！如果你在系统运维或者软件开发方面具有独特的爱好或者专长，请赐简历一份。我们视员工为合伙人，提供有竞争力的薪资、宽松的工作环境、股份或者期权激励。我们只需要你的智慧和热情!PS:西骏数据总部位于地铁8号线永泰庄站附近，可完全消除你通勤之苦，亦有足够停车位。东升科技园就在左近，生活运动设施齐全，优美环境近在咫尺！ "
84400786,研发工程师（Python/Java）,1-2万/月,职位描述：岗位职责：1、负责数据类产品/系统核心代码开发；2、协助产品梳理业务需求，提供业务规划方案，并能根据方案展开研发工作；3、根据研发经理的安排完成项目/模块的研发及维护工作；4、保持学习状态，积极参与挑战性的项目，保持创新精神。任职要求：1、本科及以上学历，计算机、软件工程等相关专业；2、2年及以上研发经验；3、熟悉JAVA EE规范，熟悉常用的设计模式；4、精通Java及Web的开发和应用；5、熟悉高并发、高性能的分布式系统的设计及应用、调优；6、熟悉MongoDB、Hadoop、HBase、Redis、Cassandra其中之一；7、熟悉PYTHON熟悉elasticSearch者优先；8、良好的系统分析、设计能力，有丰富的实践经验；9、学习能力强，拥有优秀的逻辑思维能力，工作认真负责，沟通能力良好。,北京-海淀区-首体南路新世纪日航饭店写字楼9层,01-17,上海易鑫融资租赁有限公司,外资（非欧美）,1000-5000人,"   易鑫车贷是一家科技金融公司，成立于2014年8月，四大股东易车、腾讯、京东、百度持重金打造，共注资9.5亿美金，展业以来资产规模及核心竞争力在互联网汽车金融领域里位列前茅。业务涵盖汽车产业链上的每一个环节，包括新车、二手车、融资租赁、供应链金融、车辆抵押和汽车保险。业务范围遍及全国300多个城市。易鑫车贷为消费者、主机厂、渠道商提供全方位、个性化的金融解决方案。   易鑫车贷定位于中国的汽车金融市场，通过互联网为全国客户提供更优的购车模式。2015年，已获显著进展，用户数量突破4亿，资产规模达上百亿，业务量领跑整个互联网汽车金融行业。快速准确的线上审批和线下定制服务为用户带来便捷的购车贷款体验，千余种丰富灵活的金融产品让用户真正享受到定制化金融解决方案。2016年，互联网汽车金融平台daikuan.com用户注册量已激增至上千万。易鑫车贷致力于将全球先进的汽车金融服务理念与客户需求相结合，改变传统购车理念，打造汽车互联网金融行业的风向标。 "
77969352,后台python开发工程师,0.8-1万/月,"职位描述：岗位职责：1、使用 python 语言对系统后台业务逻辑进行开发以及维护2、与业务合作方进行系统 API 的对接3、为移动端 APP 提供 CRUD 及其它业务逻辑的 AP4、进行内部管理系统的开发，需要能编写简单的 HTML 及 javascript；任职资格：1、一年以上Python项目开发经验2、熟悉django, flask者优先3、了解前后端交互的过程，配合前端进行开发4、 熟悉redis，能使用redis来进行通信和缓存",北京-北京市朝阳区驼房营南路8号新华科技大厦A座1201,01-17,北京睿朗阳光网络科技有限公司,合资,50-150人,"    北京睿朗阳光网络科技有限公司于2007年成立， 是一家完全致力于中国公益彩票事业，全方位的彩票相关服务提供商。    睿朗阳光是国内提供综合性彩票服务的龙头企业。 睿朗阳光以中国市场为技术研发基地, 以互联网技术、 电信技术、 无线应用技术为依托， 将创新的技术与传统的彩票产业相结合，面向全球彩票服务市场， 提供一揽子彩票相关服务，包括彩票系统的研发、电话与手机彩票销售系统建设，及彩票产品创新等。    睿朗阳光拥有一流的技术研发创新实力以及国内外多年的彩票运营及管理经验， 为中国以及全球彩票客户提供一流的彩票创新产品及优质的服务。 睿朗阳光本着 专业、 诚信、服务至上的经营理念， 充分发挥机动灵活的运营 及管理 机制， 伴随着中国互联网及 手机互联网时代的腾飞、彩票市场的不断繁荣， 和各方客户的 忠诚支持， 将全面 促进新 型彩票服务市场的全盛发展。    在这里我们向您提供：    舒适的工作环境：开阔的办公区域、无间隔的交流、免费咖啡、食品、茶饮；    具有开拓精神并乐于分享、互助的年轻合作团队：互联网及彩票行业领域内资深的运营、产品及技术开发成员，团队配合默契，分工明确；    快速的执行力：打造简单高效的人性化管理，省去一切不必要的审批流程；    提供全方位自我学习及提升平台：全面的业务知识、行业前沿信息及技术、个人素养等全方位的培训及进修机会；    我们倡导“开心地做自己喜欢的事情！”，如果您有梦想，如果您有激情,如果您有自信，那就请加入我们吧! 我们将会给您提供优厚的待遇, 广阔的发展空间!联系方式：地址：北京市朝阳区望京SOHO，T2，C单元606邮编：100102"
82802848,Python,1.5-2万/月,职位描述：【岗位职责】1、参与需求分析，产品设计，功能开发；2、负责系统平台的日常维护；3、与团队技术交流，共同进步。【任职要求】1、大学本科以上学历，计算机等相关专业；2、两年以上python服务端开发经验，熟悉linux环境下的开发；3、熟悉MVC架构，精通Tornado、Django、Flask等至少一个开发框架；4、参与或主导过百万用户以上级别的互联网项目者优先；5、具备良好的编码习惯及开发文档书写习惯；6、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；----------------------------------------------【关于我们】The ONE智能钢琴团队（www.1tai.com），源于一群极客的音乐梦，致力于将移动互联网技术应用于未来音乐教育的软硬件产品研发，旗下拥有专利产品—全球独家苹果公司MFi认证的The ONE智能钢琴系列、The ONE智能音乐教室。目前已完成红杉资本、李开复创新工场、徐小平真格资金、钢琴家郎朗等B轮千万投资。公司推崇透明开放协作、专业又具创造力的团队文化。The ONE不乏有来自国内外知名互联网公司的精英，无论是毕业于美国斯坦福、清华、北大等顶尖学府内敛的技术Geek，还是伯克利、悉大、专业音乐学院背景的活跃产品人，我们都致力于把“未来的音乐教育”带到今天，让更多人感受到音乐的魅力！ 【The ONE发展轨迹】- 创始人叶滨，超过10年的高科技创业经验。先后创办V2Tech、海报时尚网，作为天使投资人，他参与并完成了“赶集网”、“胡莱游戏”等投资；- 2013年，The ONE团队组建，获李开复老师创新工场A轮投资；- 2014年，The ONE智能钢琴上线，12月美国硅谷Group成立，并参加世界顶尖音乐产品展美国NAMM Show；- 2015年，完成红杉资本、创新工场、真格基金、钢琴家郎朗等近千万美金B轮融资；- 2015年，The ONE便携版智能钢琴Light、The ONE智能教室正式推出，年估量过亿销售额；- 2015年，蝉联双11淘宝全网乐器类目销冠，取得1500W的超额业绩；- 荣获2015年度科技创新团队奖、互联网创新产品50强、China Bang2015年度硬件创业公司奖，更得到今日美国、经济学人、雅虎、Discovery探索频道、CCTV、北京电视台等海内外媒体的争相报道；更多媒体报道，请戳：http://www.1tai.com/news.html 【The ONE福利大爆密】- 薪酬：竞争力的工资 + 期权激励 + 交通补贴 + 13-15薪；- 氛围：不仅体验工作上的SOHO，还能感受经验值爆表的协作；- 环境：人工体学椅、Macpro标配、硅谷创意式的开放大OFFICE；- 团队：多元化——极客范，全栈工程师、ACG、弹唱达人、牛人大神；- 碰撞：周五TGIF大咖秀、头脑风暴会、各类好玩大爬梯，停不下来的个人成长；- 技能：加入The ONE，最重要是get一门乐器，免费钢琴弹弹弹；- 美食：免费可口午晚餐、无限量零食与饮品，绝对能让你长胖；- 兴趣：健身中心卡、丰富的The ONE Club，总有一款适合你,北京-北京市朝阳区望京SOHO T1 C座 10层,01-17,小叶子（北京）科技有限公司,民营公司,50-150人,"关于壹枱The ONE智能钢琴      壹枱The ONE智能钢琴，由北京、上海、广东和美国硅谷团队联合研发，是世界首台苹果公司认证的智能钢琴，也是全球第一台真正的智能钢琴。它是小叶子（北京）科技有限公司的专利产品，由李开复创新工场投资，致力于将移动互联网技术应用于音乐教育的软硬件结合的产品。      我们相信，每个人都应该有享受音乐的权利！ 壹枱The ONE，让每一位零基础的大人和孩子，都可以快速入门，愉快练习，专业深造。让每个人拥有一台属于自己，能真正愉快弹奏的钢琴。      我们的创始团队有多次成功的创业经验。创始人曾创办V2Tech（中国最大的软件视频会议公司），海报时尚网haibao.com（后被CBS哥伦比亚广播公司收购）。公司有轻松愉快的企业文化和优美的办公环境。你将与一群有爱、有趣、热爱音乐的同事一起度过充实愉快的每一天。这里有音乐怪咖技术男，音乐学院温柔的姐姐妹妹，还是卖萌搞笑都一流的万能小伙伴。更有美貌温柔的阿姨做好超可口美味的午餐、晚餐以及饭后水果，并定期组织内部分享以及户外集体活动。 "
